id,value,feed_id,created_at,lat,lon,ele
0EH047EYZ1G7MCPMG06PNPTWH3,21.31302,1431814,2020-08-18 09:13:58 UTC,,,
0EH047JD2XHQZT59F66BMRD1TD,21.38248,1431814,2020-08-18 09:14:10 UTC,,,
0EH047NTYPRQC3NTWSBZ37F0MD,21.24359,1431814,2020-08-18 09:14:21 UTC,,,
0EH047S6ZHEMZ45ZBV8MGTCKP3,21.24359,1431814,2020-08-18 09:14:32 UTC,,,
0EH047WMYE6WQ66FNCRDKD77N4,21.24359,1431814,2020-08-18 09:14:43 UTC,,,
0EH0480320QHV80RQNM6AAD65Z,21.31302,1431814,2020-08-18 09:14:55 UTC,,,
0EH0483H3M3HNJ8C0YSGC4MFW6,21.24359,1431814,2020-08-18 09:15:06 UTC,,,
0EH0486WVFCJB6N1Q7J6AAWA4W,21.31302,1431814,2020-08-18 09:15:17 UTC,,,
0EH048AB08K2FN85XJYNM86WP5,21.38248,1431814,2020-08-18 09:15:28 UTC,,,
0EH048DS0HQG4N8N97NVJ9N2AX,21.17413,1431814,2020-08-18 09:15:39 UTC,,,
0EH048H50DB2AMJ3KSB003D017,21.31302,1431814,2020-08-18 09:15:50 UTC,,,
0EH048MK0XBC139NC29Y7J18EP,21.17413,1431814,2020-08-18 09:16:02 UTC,,,
0EH048QYZ1M4AB1T6Z22V26BKY,21.24359,1431814,2020-08-18 09:16:13 UTC,,,
0EH048VE2SEH01VP0AMHBE2WBP,21.17413,1431814,2020-08-18 09:16:24 UTC,,,
0EH048Z12FTAYSG4G3NH6HC7Z7,21.17413,1431814,2020-08-18 09:16:36 UTC,,,
0EH0492X55V6TPRA18HF0E077X,20.86185,1431814,2020-08-18 09:16:49 UTC,,,
0EH0495MYXDN8GH5AYZX02QH35,21.31302,1431814,2020-08-18 09:16:58 UTC,,,
0EH049934WF4YM8RX13CRE8EEX,21.24359,1431814,2020-08-18 09:17:09 UTC,,,
0EH049CG285T3BTZPDVCK9NSES,21.17413,1431814,2020-08-18 09:17:20 UTC,,,
0EH053YW9RBR5DFAAVJEY62NES,18.26434,1431814,2020-08-18 10:03:47 UTC,,,
0EH05433MZ1Y12RCG0G7MTTW45,18.47202,1431814,2020-08-18 10:04:00 UTC,,,
0EH0547BGRY00PSQFK0NMB621M,18.26434,1431814,2020-08-18 10:04:14 UTC,,,
0EH054BM0419NHEWHK5733H6CK,18.09122,1431814,2020-08-18 10:04:28 UTC,,,
0EH054FZQ51S31QQVBR31M2VAV,18.33356,1431814,2020-08-18 10:04:43 UTC,,,
0EH054M7NTF1VRD87Z8M1KRXK6,18.33356,1431814,2020-08-18 10:04:57 UTC,,,
0EH054RJ3WXXA6PRWC1GTMAZ8X,17.91809,1431814,2020-08-18 10:05:11 UTC,,,
0EH054WXN4N02EBPWRJV03W8YA,18.26434,1431814,2020-08-18 10:05:25 UTC,,,
0EH05515H6P4KAMP96Z277EC4A,17.80264,1431814,2020-08-18 10:05:39 UTC,,,
0EH0555NXQYDQ2HPCKTY1BTK61,18.09122,1431814,2020-08-18 10:05:54 UTC,,,
0EH0559VXP684CRVPGM6N4BW77,18.26434,1431814,2020-08-18 10:06:07 UTC,,,
0EH055EHMQNP8HKXPTH5ZJEFHE,18.33356,1431814,2020-08-18 10:06:23 UTC,,,
